Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD,Airport
MOR3314,India,India,9/27/2015 0:00,Customs seizes 247 star tortoises at Madurai Airport,Geochelone elegans,"Indian Star Tortoise, Star Tortoise, Tortuga estrellada de la India, Tortue étoilée de l'Inde",Individual - Live,247.0,,,,,,Madurai Airport
MOR3329,Hong Kong,Hong Kong,11/2/2015 0:00,38.6 kg of ivory pieces seized at Hong Kong International Airport - 1 charged,Elephantidae,Elephants,Ivory Pieces - Raw,,38.6,Kilograms,386000.0,HKD Hong Kong Dollar,49803.88,"SkyPier Terminal, Hong Kong Airport"
MOR3347,Hong Kong,Hong Kong,11/3/2015 0:00,36 kg ivory seized at Hong Kong International Airport - 2 arrested,Elephantidae,Elephants,Ivory Pieces - Raw,,36.0,Kilograms,360000.0,HKD Hong Kong Dollar,46451.0,"SkyPier Terminal, Hong Kong Airport"
MOR3370,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,10/14/2015 0:00,110 kg ivory products seized from luggage at Heathrow Airport,Elephantidae,Elephants,Ivory - Worked,,110.0,Kilograms,,,,Heathrow Airport
MOR3370,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,10/14/2015 0:00,110 kg ivory products seized from luggage at Heathrow Airport,Elephantidae,Elephants,Ivory Pieces - Raw,,110.0,Kilograms,,,,Heathrow Airport
MOR3370,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,10/14/2015 0:00,110 kg ivory products seized from luggage at Heathrow Airport,Elephantidae,Elephants,Ivory - Worked,,110.0,Kilograms,,,,Heathrow Airport
MOR3380,Japan,Japan,5/1/2015 0:00,391 Japanese turtles and Yellow pond turtles seized at the Chubu Centrair International Airport,Mauremys mutica,"Ryukyu Yellow Pond Turtle Japan, Yellow Pond Turtle",Individual - Live,391.0,,,,,,Chubu Centrair International Airport
MOR3380,Japan,Japan,5/1/2015 0:00,391 Japanese turtles and Yellow pond turtles seized at the Chubu Centrair International Airport,Mauremys japonica,Japanese Pond Turtle,Individual - Live,391.0,,,,,,Chubu Centrair International Airport
MOR3469,Thailand,Thailand,12/29/2015 0:00,10 tusks seized from luggage at Suvarnabhumi International Airport,Elephantidae,Elephants,Tusk,10.0,,,1000000.0,THB Baht,27659.4,Bangkok International Suvarnabhumi Airport
MOR3488,France,France,12/7/2015 0:00,95 kg ivory seized at Charles de Gaulle Airport - 2 Vietnamese nationals arrested,Elephantidae,Elephants,Tusk,3.0,95.0,Kilograms,,,,Charles de Gaulle Airport
MOR3488,France,France,12/7/2015 0:00,95 kg ivory seized at Charles de Gaulle Airport - 2 Vietnamese nationals arrested,Elephantidae,Elephants,Ivory - Worked,1500.0,95.0,Kilograms,,,,Charles de Gaulle Airport
MOR35092,Sri Lanka,Sri Lanka,1/7/2016 0:00,41 live star tortoises seized at Bandaranaike International Airport - 1 suspect,Geochelone elegans,"Indian Star Tortoise, Star Tortoise, Tortuga estrellada de la India, Tortue étoilée de l'Inde",Individual - Live,41.0,,,,,,Bandaranaike International Airport
MOR35096,Sri Lanka,Sri Lanka,11/15/2016 0:00,5.9 kg of edible birds nest and sea cucumbers seized at Bandaranaike International Airport,Aerodramus unicolor,Indian Swiftlet,Nest,,5.9,Kilograms,,,,Bandaranaike International Airport
MOR35096,Sri Lanka,Sri Lanka,11/15/2016 0:00,5.9 kg of edible birds nest and sea cucumbers seized at Bandaranaike International Airport,Holothuroidea,Sea Cucumber,Individual - Dead,,,,,,,Bandaranaike International Airport
MOR35645,China,China,5/22/2016 0:00,4 Brown bear skins seized at Urumqi Airport,Ursus arctos,"Brown Bear, Grizzly Bear, Oso pardo, Ours brun, Ours grizzly",Skin,4.0,,,80160.0,CNY Yuan Renminbi,12242.9,Urumqi Diwopu Airport
